First Name,Last Name,Phone,Country,College,Enrollment Status,Counsellor,Fee Currency,Fee Amount,Fee Paid,Balance Due,Fee Payment Status,Student ID,Deadline Date
BINTA,Zulu,Not Found,Cameroon,SRM Chennai,Enrolled,ABDUL,,$750,750,,,EDO7055,14-10-2026
KARIUKI,barry,N/A,Zimbabwe,Sharda University,Active,Vivek,,INR 75000,75000,,,EDO8060,29-11-2026
Ibrahim,wanjiru,265997758073,Malawi,Sharda University,Enrolled,Priya,,INR 45000,31922,,,EDO6681,02-06-2025
nomsa,mutua,+260844537854,Zambia,Amity University,Pending,PRIYA,,1000 USD,1000,,,EDO8434,19-12-2025
ngozi,Diallo,Not Found,Kenya,SRM Chennai,Pending,Abdul,INR,60000,0,,,EDO5740,29-09-2026
Grace,BANDA,N/A,Zambia,upes,Pending,Akshay,,"$3,000",206,,,EDO3639,15-06-2026
Wanjiru,diop,+265 811 629 644,Malawi,Manipal University,Pending,MANAN,USD,2500,525,,,EDO8580,31-03-2026
HOPE,Kebede,+254 138 899 873,Kenya,SRM Chennai,In Progress,vivek,,USD 750,0,,,EDO7976,06-05-2025
Emmanuel,Owusu,+267432121130,Botswana,srm university,Waitlisted,Not Assigned,INR,75000,61566,,,EDO8588,24-10-2024
Kofi,MUMBA,251408274040,Ethiopia,manipal university,Active,MAYANK,,USD 750,0,,,EDO2770,18-03-2024
Zara,obi,265145142198,Malawi,SRM University,Dropped,MAYANK,INR,75000,75000,,,EDO6500,14-12-2024
Victor,gyasi,256319559100,Uganda,LOVELY PROFESSIONAL UNIVERSITY,Enrolled,Unknown,,$750,750,,,EDO6939,27-11-2026
ibrahim,fall,785562711,South Africa,,Applied,Mayank,,"$3,000",0,,,EDO1548,12-05-2025
Nomsa,Obi,+254575734964,Kenya,LPU,On Hold,Manan,USD,1000,1000,,,EDO5845,13-12-2025
ADAEZE,Tembo,+263386036001,Zimbabwe,Chitkara University,Waitlisted,Mayank,,USD 2500,2500,,,EDO7717,08-04-2024
Nkechi,alemu,+27059303663,South Africa,Amity Noida,Enrolled,priya,USD,1000,1000,,,EDO7377,05-06-2025
VICTOR,Abebe,+264811130468,Namibia,Manipal University,Applied,AKSHAY,USD,750,64,,,EDO3776,11-06-2024
daniel,,+255077654941,Tanzania,Amity Noida,Active,AKSHAY,,1500 USD,1500,,,EDO1475,06-12-2024
Isaac,ANNAN,263146697590,Zimbabwe,SRM University,Pending,Priya,,"$2,000",0,,,EDO8165,23-04-2024
JOY,Tembo,Not Found,Botswana,SRM University,Waitlisted,Akshay,,USD 1500,455,,,EDO6609,26-12-2024
HOPE,tadesse,+233936741903,Ghana,VIT University,Inactive,Mayank,,USD 2500,0,,,EDO7284,30-07-2024
SIPHO,Mokoena,+267 973 448 559,Botswana,LPU,Dropped,Priya,USD,2500,2500,,,EDO4667,26-05-2026
Ngozi,TESFAYE,255270933708,Tanzania,bennett university,Dropped,Akshay,INR,45000,10166,,,EDO9975,11-02-2024
Daniel,ADEYEMI,578876473,Rwanda,Lovely Professional University,Pending,PRIYA,,2500 USD,1411,,,EDO7085,18-01-2025
MOSES,ADEYEMI,+256326389907,Uganda,Manipal University,Deferred,Manan,$,2500,148,,,EDO5406,25-07-2025
Lebo,Appiah,263298856440,Zimbabwe,Not Assigned,Enrolled,Manan,USD,1000,596,,,EDO7552,04-04-2025
blessing,MABASO,+265 555 426 635,Malawi,LPU,Active,MAYANK,,3000 USD,851,,,EDO8833,26-09-2026
hassan,Haile,519277772,Tanzania,Bennett University,Enrolled,Priya,,$750,135,,,EDO9786,25-12-2026
ADE,,Not Found,Cameroon,SRM UNIVERSITY,Waitlisted,vivek,,"$2,500",469,,,EDO3597,11-Mar-2024
Peace,Alemu,+237828600165,Cameroon,SHARDA UNIVERSITY,Waitlisted,Vivek,INR,60000,0,,,EDO4495,13-04-2026
otieno,MWALE,+255578009146,Tanzania,SRM Chennai,Applied,Not Assigned,USD,1000,156,,,EDO1295,13-05-2026
Musa,annan,+251448935670,Ethiopia,LPU,Enrolled,Not Found,,USD 3000,3000,,,EDO1255,06-04-2025
WANJIRU,Tesfaye,+237420470724,Cameroon,UPES,Deferred,Akshay,,USD 2500,0,,,EDO8803,14-06-2024
victor,KEBEDE,612729410,Ethiopia,LOVELY PROFESSIONAL UNIVERSITY,Active,Abdul,,60000 INR,0,,,EDO1118,16-01-2024
Sade,TEMBO,251246559472,Ethiopia,AMITY NOIDA,Dropped,Unknown,,INR 45000,5556,,,EDO1303,26-01-2026
KAMAU,PHIRI,+256022793612,Uganda,SRM University,On Hold,Vivek,INR,60000,12643,,,EDO5162,07-Nov-2026
otieno,Sithole,583345213,Kenya,UPES,Pending,abdul,,Rs.45000,12634,,,EDO5104,09-01-2025
Hope,tesfaye,,Nigeria,Lovely Professional University,Dropped,Not Assigned,,INR 60000,0,,,EDO1172,12-08-2024
MUSA,OMONDI,787845546,Cameroon,bennett university,Waitlisted,Mayank,USD,1000,142,,,EDO7391,27-03-2024
CHISOM,KARIUKI,+27956233050,South Africa,Manipal University,Enrolled,Vivek,,USD 3000,3000,,,EDO3464,05-09-2025
Emeka,Diop,+264 595 672 730,Namibia,bennett university,Inactive,abdul,INR,3000,0,,,EDO5202,26-09-2024
AMINATA,gyasi,+265239946420,Malawi,upes,Active,Abdul,,USD 1000,0,,,EDO4419,20-04-2024
kariuki,Mabaso,265159785133,Malawi,SRM UNIVERSITY,Active,Abdul,,Rs.75000,75000,,,EDO3441,13-06-2026
Victor,Kamau,+250735249445,Rwanda,Chitkara University,Pending,Akshay,USD,750,0,,,EDO9660,16-10-2026
tendai,Njoroge,+265165834023,Malawi,UPES,Dropped,vivek,,USD 2500,690,,,EDO5798,05-08-2025
ruth,njoroge,416635216,Tanzania,VIT UNIVERSITY,Waitlisted,mayank,USD,60000,3016,,,EDO6102,27-06-2026
NIA,Dike,+237492390323,Cameroon,UPES,Pending,Priya,,USD 750,750,,,EDO5727,02-Dec-2026
Hassan,adeyemi,234432315970,Nigeria,bennett university,Waitlisted,Akshay,USD,1000,1000,,,EDO5712,24-04-2025
aminata,MTHEMBU,237263415551,Cameroon,LPU,On Hold,AKSHAY,USD,2000,2000,,,EDO5013,29-04-2025
Kofi,abebe,+255385128897,Tanzania,AMITY UNIVERSITY,Pending,priya,,USD 750,78,,,EDO3883,02-08-2026
NJOROGE,okeke,,Nigeria,VIT University,Inactive,akshay,USD,750,386,,,EDO6636,29-03-2026
Nkechi,Tadesse,+234229449303,Nigeria,Amity University,In Progress,priya,,Rs.60000,8488,,,EDO9395,17-10-2025
HALIMA,banda,,Nigeria,SRM University,Enrolled,mayank,USD,1000,1000,,,EDO6795,25-12-2024
FATIMA,KHUMALO,256172559229,Uganda,chitkara university,Waitlisted,Mayank,USD,2500,2500,,,EDO6551,31-12-2025
ABRAHAM,KAPINGA,+233 516 505 586,Ghana,SHARDA UNIVERSITY,Pending,Mayank,,"$3,000",0,,,EDO9377,01-01-2024
Moses,Asante,,Rwanda,Lovely Professional University,Enrolled,vivek,,INR 45000,13062,,,EDO1840,13-06-2026
abena,FALL,+255 434 588 783,Tanzania,srm university,Enrolled,Vivek,USD,3000,0,,,EDO1291,21-08-2024
Kemi,DIALLO,+255727085211,Tanzania,LOVELY PROFESSIONAL UNIVERSITY,Enrolled,akshay,,INR 60000,3749,,,EDO6252,27-06-2026
Emeka,Kariuki,255404398036,Tanzania,,Pending,Priya,INR,2500,0,,,EDO5150,28-05-2026
JOY,Mbewe,+264433811157,Namibia,bennett university,Enrolled,Akshay,,USD 750,0,,,EDO5171,23-09-2024
OTIENO,Cele,+237819081535,Cameroon,SRM University,Enrolled,Priya,,"$1,000",1000,,,EDO4917,05-Jun-2025
blessing,Mumba,+267 632 002 904,Botswana,Lovely Professional University,Active,Unknown,Rs,75000,15860,,,EDO6089,13-03-2025
YEMI,Okeke,237890895974,Cameroon,VIT University,Waitlisted,Mayank,,USD 1000,105,,,EDO8145,03-Aug-2025
Otieno,ANNAN,+251304530781,Ethiopia,amity university,Enrolled,Manan,,INR 60000,0,,,EDO4310,11-08-2025
Kemi,Annan,+255948227722,Tanzania,VIT University,Deferred,Mayank,,USD 1000,266,,,EDO5409,21-04-2025
EBUKA,NKOSI,253195418,Cameroon,Manipal University,Inactive,vivek,USD,1000,1000,,,EDO7528,23-07-2024
Peace,mwangi,+234539603717,Nigeria,LPU,In Progress,Abdul,,USD 3000,786,,,EDO7171,05-02-2025
Tunde,eze,+263 562 575 422,Zimbabwe,Bennett University,Applied,MAYANK,,1000 USD,275,,,EDO8502,16-10-2025
Joy,Mumba,,Ghana,manipal university,Pending,Abdul,USD,3000,3000,,,EDO5763,27-10-2025
grace,Mensah,+233024531772,Ghana,LPU,Active,MAYANK,USD,3000,728,,,EDO5842,01-01-2026
Aminata,Adjei,,Zimbabwe,,Active,Not Found,USD,2500,1824,,,EDO5005,08-01-2026
moses,Tadesse,250748861694,Rwanda,,Enrolled,Priya,USD,1500,1500,,,EDO3512,19-05-2025
fatima,wanjiru,,Rwanda,Sharda University,In Progress,mayank,,"$2,500",1771,,,EDO1445,22-08-2025
Hassan,okeke,644353806,South Africa,Chitkara University,Pending,VIVEK,,USD 1500,68,,,EDO9925,21-11-2025
nomsa,MVULA,260640446027,Zambia,Sharda University,Pending,priya,,$750,0,,,EDO1566,06-Apr-2024
Aisha,bekele,705831392,Botswana,srm university,Waitlisted,Priya,,USD 3000,3000,,,EDO7865,02-11-2024
Chisom,Diallo,+260335576110,Zambia,Amity Noida,Deferred,akshay,,USD 1500,0,,,EDO3451,05-Jul-2026
rutendo,Nkosi,+27339063120,South Africa,Bennett University,Waitlisted,manan,INR,75000,75000,,,EDO2471,20-06-2026
Omondi,ZULU,+237845435102,Cameroon,Amity Noida,Active,abdul,,1500 USD,0,,,EDO3183,19-02-2024
Ade,Kapinga,+27 505 591 609,South Africa,upes,Enrolled,Unknown,INR,45000,3458,,,EDO7276,23-03-2025
Grace,Otieno,+267100907885,Botswana,Amity Noida,Waitlisted,Mayank,INR,2000,0,,,EDO1955,01-07-2024
SOLOMON,diallo,911555612,Zimbabwe,VIT University,Applied,Vivek,,45000 INR,45000,,,EDO1341,22-12-2026
Nkechi,Ndlovu,+233 238 736 286,Ghana,,Active,abdul,USD,3000,892,,,EDO6161,13-02-2025
LINET,Tembo,+260 936 434 380,Zambia,Amity University,On Hold,MAYANK,INR,1500,62,,,EDO4050,16-03-2026
Mutua,,254096936999,Kenya,SRM University,In Progress,akshay,INR,75000,10894,,,EDO9350,14-12-2025
MUTUA,Eze,55897370,Nigeria,,Enrolled,vivek,,2500 USD,1344,,,EDO3581,03-04-2024
BINTA,kariuki,,Namibia,Amity University,On Hold,vivek,USD,750,0,,,EDO2588,12-11-2024
CHISOM,Mumba,256221706484,Uganda,Chitkara University,Pending,Vivek,inr,1000,0,,,EDO7219,02-Jan-2026
Ade,obi,+267 327 107 744,Botswana,,Active,Vivek,USD,2500,1985,,,EDO4743,17-07-2024
Rutendo,barry,250984932405,Rwanda,Chitkara University,Enrolled,mayank,,Rs.75000,0,,,EDO2640,12-03-2024
Nia,Camara,,Malawi,VIT University,On Hold,Manan,,45000 INR,0,,,EDO4544,04-04-2025
TENDAI,balde,+267983945352,Botswana,Amity Noida,Dropped,abdul,USD,45000,3803,,,EDO2580,04-10-2024
Hassan,DIALLO,256086916324,Uganda,SRM Chennai,Pending,Not Found,,INR 60000,39878,,,EDO1512,17-10-2026
Yemi,DLAMINI,,Ethiopia,SRM Chennai,Enrolled,VIVEK,USD,750,49,,,EDO1701,11-06-2026
OLUMIDE,Camara,255777846306,Tanzania,manipal university,Active,abdul,USD,3000,541,,,EDO2876,15-02-2026
Fatima,Otieno,+27949142274,South Africa,Chitkara University,Pending,Abdul,USD,2500,1037,,,EDO6658,01-12-2026
AMARA,tesfaye,237477967390,Cameroon,MANIPAL UNIVERSITY,Inactive,vivek,USD,1000,1000,,,EDO3969,25-11-2026
omondi,Mwangi,+256638273444,Uganda,lovely professional university,Enrolled,Vivek,INR,45000,7077,,,EDO6650,10-May-2024
nomsa,Ndiaye,197941521,Ethiopia,VIT University,Enrolled,akshay,INR,60000,38270,,,EDO8603,26-12-2025
Omar,MBEWE,+263973687371,Zimbabwe,,On Hold,Priya,USD,1500,0,,,EDO6000,23-04-2025
kariuki,Banda,,Zimbabwe,amity noida,Dropped,Akshay,,INR 75000,17515,,,EDO9780,02-11-2024
Victor,nwosu,+265548931728,Malawi,MANIPAL UNIVERSITY,Enrolled,MANAN,,USD 2500,494,,,EDO4196,30-05-2024
blessing,Adjei,+255 825 053 980,Tanzania,LPU,Active,Not Found,,USD 1500,1500,,,EDO8121,20-09-2025
nomsa,ZULU,255909173869,Tanzania,chitkara university,Applied,Mayank,USD,45000,7658,,,EDO2827,12-05-2026
omondi,BOATENG,439109669,Cameroon,Manipal University,Pending,Abdul,,2500 USD,854,,,EDO9575,08-Oct-2025
Abena,ndiaye,,Ghana,UPES,Enrolled,Abdul,Rs,45000,12928,,,EDO2751,30-03-2024
Halima,Dlamini,256891425609,Uganda,lpu,Enrolled,Mayank,INR,75000,75000,,,EDO2212,31-12-2026
faith,Camara,+233076291229,Ghana,amity noida,Pending,Unknown,,45000 INR,45000,,,EDO3513,12-08-2024
moses,TESFAYE,,Cameroon,amity noida,Pending,Priya,,1500 USD,1500,,,EDO7908,09-Jan-2024
Isaac,haile,327370086,Tanzania,Chitkara University,Active,Not Found,USD,3000,1469,,,EDO4159,20-11-2026
TUNDE,Tadesse,,Uganda,Not Assigned,Enrolled,Abdul,,Rs.60000,50436,,,EDO9224,10-Apr-2025
DANIEL,Appiah,+233214090595,Ghana,Amity Noida,Pending,Unknown,,"$2,000",478,,,EDO3057,23-11-2026
ruth,Ndlovu,,Kenya,,On Hold,Unknown,INR,75000,47841,,,EDO5600,20-12-2026
aisha,Cele,+263773985702,Zimbabwe,Amity Noida,Enrolled,Not Assigned,,Rs.60000,60000,,,EDO1052,28-11-2025
HALIMA,Owusu,626949898,Nigeria,Amity Noida,Enrolled,ABDUL,USD,1500,1234,,,EDO1613,18-08-2024
mwangi,ADEYEMI,195396193,Namibia,amity noida,Pending,VIVEK,,60000 INR,15408,,,EDO4002,09-05-2026
hope,,792446578,Namibia,UPES,Enrolled,Priya,,2000 USD,210,,,EDO6661,19-02-2026
victor,MVULA,+251254906257,Ethiopia,Not Assigned,Deferred,Manan,USD,750,750,,,EDO7866,02-08-2026
Kariuki,Kapinga,264671945008,Namibia,MANIPAL UNIVERSITY,On Hold,MAYANK,INR,75000,75000,,,EDO9587,19-11-2026
blessing,Asante,+251955268728,Ethiopia,lovely professional university,In Progress,Akshay,,USD 2500,0,,,EDO2443,05-10-2026
Halima,CAMARA,+265343840427,Malawi,Amity University,In Progress,abdul,,2500 USD,442,,,EDO6026,21-12-2025
Grace,Ndiaye,233003235129,Ghana,LPU,On Hold,Abdul,USD,2000,569,,,EDO6253,01-04-2026
halima,KARIUKI,586869166,Tanzania,Amity University,Enrolled,Mayank,,75000 INR,0,,,EDO7551,06-06-2026
Otieno,,+267168429364,Botswana,vit university,Active,Vivek,,"$3,000",496,,,EDO6235,20-10-2026
Faith,,,Cameroon,amity university,Applied,Priya,,USD 750,750,,,EDO7466,09-Apr-2024
olumide,nkosi,+267 316 866 689,Botswana,MANIPAL UNIVERSITY,Waitlisted,AKSHAY,USD,750,750,,,EDO1113,10-09-2024
SOLOMON,Mvula,,Nigeria,Amity University,Enrolled,Not Found,,75000 INR,47493,,,EDO3853,03-03-2025
aisha,Uche,+263 337 154 800,Zimbabwe,SRM CHENNAI,Pending,vivek,,USD 1500,0,,,EDO3158,27-05-2026
KAMAU,ZUNGU,,Zambia,SRM UNIVERSITY,Inactive,Akshay,,3000 USD,534,,,EDO1615,16-11-2026
Joy,MUTUA,+265394193990,Malawi,,Dropped,vivek,USD,750,59,,,EDO8654,13-10-2025
NJOROGE,APPIAH,609232092,Uganda,Manipal University,Enrolled,akshay,,USD 2500,0,,,EDO3037,13-05-2026
Chidi,fall,+254785619819,Kenya,Lovely Professional University,Enrolled,VIVEK,,USD 750,413,,,EDO9498,24-11-2026
SAMUEL,nwachukwu,+267 774 341 040,Botswana,Bennett University,Deferred,Akshay,,USD 3000,0,,,EDO6857,08-01-2026
kariuki,Mumba,+27701680287,South Africa,vit university,Deferred,Unknown,,750 USD,0,,,EDO3932,23-06-2025
Tendai,Phiri,,Ethiopia,VIT University,On Hold,Akshay,,USD 3000,3000,,,EDO4401,08-12-2026
Nkechi,Sithole,+267048803452,Botswana,amity noida,Pending,Akshay,,INR 45000,0,,,EDO4793,23-10-2026
hope,nwachukwu,,Botswana,Manipal University,Enrolled,Manan,,USD 1000,1000,,,EDO6228,29-01-2025
lebo,Ndiaye,,Tanzania,SHARDA UNIVERSITY,Enrolled,vivek,,USD 1500,0,,,EDO6659,28-09-2025
KWAME,mvula,+251282576230,Ethiopia,BENNETT UNIVERSITY,Enrolled,MANAN,USD,1000,175,,,EDO9060,25-08-2025
thabo,nwosu,332150952,Ghana,Bennett University,Enrolled,Vivek,INR,75000,75000,,,EDO2224,03-06-2025
Wanjiru,ABEBE,+250195908350,Rwanda,UPES,Dropped,Akshay,INR,75000,0,,,EDO5256,15-04-2025
NKECHI,eze,234672474258,Nigeria,vit university,Enrolled,Manan,,INR 45000,45000,,,EDO2394,23-12-2024
RUTH,khumalo,+233132078160,Ghana,Amity Noida,Pending,Manan,,USD 1500,1500,,,EDO5324,03-10-2025
Amira,Cele,112330359,South Africa,sharda university,Enrolled,Not Assigned,,1500 USD,642,,,EDO7157,28-09-2024
AMARA,Diallo,234434381115,Nigeria,VIT University,In Progress,Not Found,USD,2000,333,,,EDO9766,21-07-2026
Amara,Asante,+254036725265,Kenya,Bennett University,Waitlisted,Abdul,USD,3000,773,,,EDO1105,19-12-2025
Kofi,Asante,+267604125108,Botswana,Amity Noida,Inactive,VIVEK,,INR 75000,75000,,,EDO1320,24-09-2024
kofi,,255195237600,Tanzania,Lovely Professional University,In Progress,Not Found,INR,75000,51274,,,EDO3543,20-11-2025
Isaac,Dike,+256 342 328 603,Uganda,VIT UNIVERSITY,Enrolled,abdul,,Rs.45000,0,,,EDO8433,12-Aug-2024
Fatima,Owusu,,Botswana,LPU,Dropped,PRIYA,USD,3000,459,,,EDO4786,24-03-2025
Ebuka,Mwangi,,Cameroon,SRM University,Waitlisted,Vivek,INR,60000,20927,,,EDO8274,06-Nov-2025
ADE,Banda,+250155442951,Rwanda,manipal university,Enrolled,VIVEK,Rs,3000,0,,,EDO1711,02-02-2026
Ebuka,BANDA,27699198895,South Africa,Lovely Professional University,Active,akshay,,45000 INR,25665,,,EDO7024,30-06-2025
Aisha,nwachukwu,,Namibia,SRM University,Inactive,Vivek,,USD 750,750,,,EDO1078,24-10-2024
NOMSA,bekele,+27984896326,South Africa,LPU,In Progress,Priya,,"$1,000",1000,,,EDO8498,25-07-2026
MOSES,Achieng,447584927,Rwanda,SRM University,Enrolled,abdul,,3000 USD,3000,,,EDO4599,20-03-2025
ibrahim,,+234285664109,Nigeria,SRM University,Active,Priya,,USD 1000,0,,,EDO6150,25-09-2025
Solomon,Mwangi,192870168,Rwanda,,Enrolled,VIVEK,,"$3,000",173,,,EDO7485,26-06-2026
AMINATA,Girma,+265177983624,Malawi,SRM University,In Progress,Akshay,,"$2,000",0,,,EDO8114,28-02-2025
kwame,eze,250078922475,Rwanda,LPU,Active,VIVEK,,"$2,000",0,,,EDO9554,25-11-2026
Aisha,Diop,+233 773 658 082,Ghana,amity university,On Hold,VIVEK,,INR 45000,2978,,,EDO4215,28-02-2024
HALIMA,APPIAH,+263450868844,Zimbabwe,SRM University,On Hold,Abdul,inr,1500,1165,,,EDO7223,26-04-2026
HOPE,obi,120266710,Kenya,Lovely Professional University,Enrolled,Vivek,,USD 2500,1061,,,EDO4582,07-06-2025
TUNDE,Owusu,+27415338219,South Africa,SRM Chennai,On Hold,Akshay,inr,2500,0,,,EDO8148,03-04-2025
rutendo,gyasi,786066484,Tanzania,LPU,Active,MANAN,USD,2000,361,,,EDO3742,19-07-2024
Peace,mensah,+27690386261,South Africa,LPU,Pending,Priya,,INR 75000,0,,,EDO3909,01-08-2026
Mwangi,Nwosu,233636168542,Ghana,amity noida,Waitlisted,Akshay,USD,750,750,,,EDO6725,15-08-2024
Aisha,Cele,,Ethiopia,CHITKARA UNIVERSITY,Enrolled,Not Assigned,,Rs.45000,8167,,,EDO8142,29-02-2024
Linet,Girma,,Ghana,upes,Inactive,akshay,,USD 2000,375,,,EDO7113,14-08-2024
CHISOM,OWINO,+237341385448,Cameroon,Lovely Professional University,In Progress,Manan,,"$1,500",28,,,EDO1620,22-05-2024
KWAME,Tembo,+265797122350,Malawi,vit university,On Hold,Manan,$,2500,526,,,EDO9188,11-03-2025
wanjiru,Diop,+267601387915,Botswana,sharda university,Pending,Mayank,,$750,314,,,EDO8286,08-03-2025
KWAME,BANDA,,Kenya,Lovely Professional University,Deferred,Akshay,$,75000,0,,,EDO9591,18-02-2024
mutua,NKOSI,260203545381,Zambia,Sharda University,Pending,manan,INR,75000,52159,,,EDO6517,29-04-2025
Emmanuel,BEKELE,+237520616112,Cameroon,Sharda University,Deferred,Mayank,INR,45000,0,,,EDO3109,04-Sep-2024
JOY,Diallo,,Malawi,Chitkara University,Inactive,ABDUL,,"$3,000",0,,,EDO4832,01-11-2026
Aisha,Appiah,264318757872,Namibia,SRM University,On Hold,PRIYA,USD,1000,49,,,EDO9702,23-03-2025
omondi,,+234 822 163 982,Nigeria,amity noida,Dropped,Not Found,USD,750,252,,,EDO1166,23-05-2026
Omondi,ASANTE,863932533,South Africa,SRM Chennai,Pending,Abdul,,"$1,000",61,,,EDO1092,23-10-2024
Nkechi,Owusu,+251 992 779 117,Ethiopia,LPU,Pending,Akshay,,3000 USD,0,,,EDO1542,21-06-2025
Abena,camara,+254319955630,Kenya,,Enrolled,Abdul,,INR 45000,0,,,EDO4247,27-09-2024
femi,KEBEDE,+233571070722,Ghana,Sharda University,Active,Not Assigned,,USD 1500,920,,,EDO3944,23-04-2025
wanjiru,sithole,+254360206969,Kenya,Amity University,Enrolled,PRIYA,,USD 1500,59,,,EDO5266,22-08-2024
Femi,okeke,869277266,Nigeria,,In Progress,Not Found,,$750,432,,,EDO4291,28-04-2026
fatima,Kariuki,+251 478 092 929,Ethiopia,chitkara university,Waitlisted,Unknown,USD,1000,1000,,,EDO2490,12-01-2024
Amara,ALEMU,+250 897 884 021,Rwanda,Amity Noida,Dropped,Vivek,USD,3000,1543,,,EDO9095,06-08-2025
Wanjiru,Kebede,+267900302769,Botswana,Lovely Professional University,Active,Not Found,,2000 USD,2000,,,EDO5910,12-07-2024
Tunde,okafor,+265060030890,Malawi,Amity University,Dropped,Not Assigned,usd,2500,0,,,EDO8234,24-08-2024
Nia,kariuki,237269194484,Cameroon,srm chennai,Pending,AKSHAY,,USD 1000,405,,,EDO4023,03-Jan-2026
YUSUF,Balde,+263631425939,Zimbabwe,Lovely Professional University,Active,mayank,inr,60000,60000,,,EDO9454,12-03-2025
KAMAU,NJOROGE,+251728616072,Ethiopia,UPES,Pending,Unknown,,Rs.45000,29148,,,EDO7975,18-04-2024
RUTH,uche,+234863663889,Nigeria,manipal university,Deferred,VIVEK,,"$2,500",101,,,EDO7530,21-02-2024
Mutua,Owusu,,Tanzania,SRM University,Dropped,VIVEK,INR,60000,3413,,,EDO8145,02-05-2025
Adaeze,Mbewe,260247185824,Zambia,UPES,Enrolled,Abdul,USD,750,89,,,EDO8246,21-07-2026
DANIEL,Wanjiru,+260942151808,Zambia,UPES,Enrolled,priya,INR,75000,46112,,,EDO6401,01-Mar-2026
Ngozi,barry,,Botswana,VIT University,Enrolled,MAYANK,USD,750,425,,,EDO4575,26-08-2025
isaac,mabaso,+251615514353,Ethiopia,SHARDA UNIVERSITY,Enrolled,Manan,,"$2,500",2500,,,EDO7805,09-02-2026
Kamau,Achieng,,Uganda,Amity Noida,Dropped,Vivek,,"$1,500",0,,,EDO3843,01-Feb-2025
Rutendo,Banda,+27545383694,South Africa,SRM University,Pending,AKSHAY,,1500 USD,1500,,,EDO3331,01-04-2024
Mwangi,HAILE,+255 103 552 675,Tanzania,Sharda University,Enrolled,vivek,USD,2000,423,,,EDO6342,12-09-2024
Sipho,kebede,+233107597411,Ghana,amity noida,Active,Unknown,,"$2,000",1376,,,EDO7689,18-03-2026
lebo,MBEWE,+255211537480,Tanzania,UPES,Active,priya,,INR 60000,7001,,,EDO5394,02-09-2026
OLUMIDE,mensah,+256 911 537 959,Uganda,Sharda University,Active,Not Found,,USD 3000,373,,,EDO4615,03-Aug-2026
linet,Phiri,,Kenya,LPU,Enrolled,Akshay,USD,3000,728,,,EDO8612,30-05-2024
Kariuki,cele,27999333898,South Africa,SRM CHENNAI,Inactive,Priya,INR,45000,38038,,,EDO8789,28-10-2024
Aisha,ndlovu,+250178414587,Rwanda,lpu,Deferred,Not Found,USD,750,490,,,EDO2645,23-07-2024
